"genus_name","family_name","order_name","class_name","phylum_name","kingdom_name"
"Aaptosyax","Cyprinidae","Cypriniformes","Actinopteri","Chordata","Metazoa"
"Abactochromis","Cichlidae","Cichliformes","Actinopteri","Chordata","Metazoa"
"Abalistes","Balistidae","Tetraodontiformes","Actinopteri","Chordata","Metazoa"
"Abantennarius","Antennariidae","Lophiiformes","Actinopteri","Chordata","Metazoa"
"Abavorana","Ranidae","Anura","Amphibia","Chordata","Metazoa"
"Abbottina","Gobionidae","Cypriniformes","Actinopteri","Chordata","Metazoa"
"Abeillia","Trochilidae","Apodiformes","Aves","Chordata","Metazoa"
"Abeomelomys","Muridae","Rodentia","Mammalia","Chordata","Metazoa"
"Ablabys","Tetrarogidae","Perciformes","Actinopteri","Chordata","Metazoa"
"Ablennes","Belonidae","Beloniformes","Actinopteri","Chordata","Metazoa"
"Ablepharus","Scincidae","Squamata","Lepidosauria","Chordata","Metazoa"
"Aboma","Gobiidae","Gobiiformes","Actinopteri","Chordata","Metazoa"
"Aborichthys","Nemacheilidae","Cypriniformes","Actinopteri","Chordata","Metazoa"
"Abramis","Leuciscidae","Cypriniformes","Actinopteri","Chordata","Metazoa"
"Abramites","Anostomidae","Characiformes","Actinopteri","Chordata","Metazoa"
"Abrawayaomys","Cricetidae","Rodentia","Mammalia","Chordata","Metazoa"
"Abrocoma","Abrocomidae","Rodentia","Mammalia","Chordata","Metazoa"
"Abronia","Anguidae","Squamata","Lepidosauria","Chordata","Metazoa"
"Abrornis","Phylloscopidae","Passeriformes","Aves","Chordata","Metazoa"
"Abroscopus","Sylviidae","Passeriformes","Aves","Chordata","Metazoa"
"Abrothrix","Cricetidae","Rodentia","Mammalia","Chordata","Metazoa"
"Abudefduf","Pomacentridae",,"Actinopteri","Chordata","Metazoa"
"Aburria","Cracidae","Galliformes","Aves","Chordata","Metazoa"
"Abyssocottus","Cottidae","Perciformes","Actinopteri","Chordata","Metazoa"
"Acalyptophis","Hydrophiidae","Squamata","Lepidosauria","Chordata","Metazoa"
"Acanthagenys","Meliphagidae","Passeriformes","Aves","Chordata","Metazoa"
"Acanthalburnus","Leuciscidae","Cypriniformes","Actinopteri","Chordata","Metazoa"
"Acanthaluteres","Monacanthidae","Tetraodontiformes","Actinopteri","Chordata","Metazoa"
"Acanthaphritis","Percophidae","Pempheriformes","Actinopteri","Chordata","Metazoa"
"Acantharchus","Centrarchidae","Centrarchiformes","Actinopteri","Chordata","Metazoa"
"Acanthemblemaria","Chaenopsidae","Blenniiformes","Actinopteri","Chordata","Metazoa"
"Acanthicus","Loricariidae","Siluriformes","Actinopteri","Chordata","Metazoa"
"Acanthidops","Thraupidae","Passeriformes","Aves","Chordata","Metazoa"
"Acanthis","Fringillidae","Passeriformes","Aves","Chordata","Metazoa"
"Acanthisitta","Acanthisittidae","Passeriformes","Aves","Chordata","Metazoa"
"Acanthistius","Serranidae","Perciformes","Actinopteri","Chordata","Metazoa"
"Acanthixalus","Hyperoliidae","Anura","Amphibia","Chordata","Metazoa"
"Acanthiza","Acanthizidae","Passeriformes","Aves","Chordata","Metazoa"
"Acanthobrama","Leuciscidae","Cypriniformes","Actinopteri","Chordata","Metazoa"
"Acanthobunocephalus","Aspredinidae","Siluriformes","Actinopteri","Chordata","Metazoa"
"Acanthocepola","Cepolidae","Priacanthiformes","Actinopteri","Chordata","Metazoa"
"Acanthocercus","Agamidae","Squamata","Lepidosauria","Chordata","Metazoa"
"Acanthochaenus","Stephanoberycidae","Beryciformes","Actinopteri","Chordata","Metazoa"
"Acanthocharax","Characidae","Characiformes","Actinopteri","Chordata","Metazoa"
